Nama EV,Baterai
Mercedes-Benz EQS SUV Maybach 680,118.0
Mercedes-Benz EQS SUV 450+,118.0
Mercedes-Benz EQS SUV 450 4MATIC,118.0
Mercedes-Benz EQS SUV 500 4MATIC,118.0
Mercedes-Benz EQS SUV 580 4MATIC,118.0
Mercedes-Benz EQS 450+,118.0
Mercedes-Benz EQS 450 4MATIC,118.0
Mercedes-Benz EQS 500 4MATIC,118.0
Mercedes-Benz EQS 580 4MATIC,118.0
Mercedes-Benz EQS AMG 53 4MATIC+,118.0
Mercedes-Benz G 580,116.0
Hongqi E-HS9 120 kWh,112.0
Lucid Air Grand Touring,112.0
BMW iX xDrive60,109.1
Lotus Eletre S,109.0
Lotus Eletre,109.0
Lotus Eletre R,109.0
BMW iX M70 xDrive,108.9
BYD TANG Flagship,108.8
Polestar 3 Long Range Single motor,107.0
Polestar 3 Long Range Dual motor,107.0
Polestar 3 Long Range Performance,107.0
Volvo EX90 Twin Motor,107.0
Volvo EX90 Twin Motor Performance,107.0
Hyundai IONIQ 9 Long Range RWD,106.0
Hyundai IONIQ 9 Long Range AWD,106.0
Hyundai IONIQ 9 Performance AWD,106.0
Volvo ES90 Twin Motor,102.0
Volvo ES90 Twin Motor Performance,102.0
Cadillac Lyriq 600 E4,102.0
Rolls-Royce Spectre,102.0
BMW i7 M70 xDrive,101.7
BMW i7 eDrive50,101.7
BMW i7 xDrive60,101.7
Voyah Free 106 kWh,100.0
Volvo EX90 Single Motor,100.0
Lotus Emeya,98.9
Lotus Emeya S,98.9
Lotus Emeya R,98.9
DS N°8 FWD Long Range,97.2
DS N°8 AWD Long Range,97.2
Porsche Taycan Plus,97.0
Porsche Taycan 4S Plus,97.0
Porsche Taycan Turbo,97.0
Porsche Taycan Turbo S,97.0
Porsche Taycan Plus Sport Turismo,97.0
Porsche Taycan 4S Plus Sport Turismo,97.0
Porsche Taycan Turbo Sport Turismo,97.0
Porsche Taycan Turbo S Sport Turismo,97.0
Porsche Taycan 4 Cross Turismo,97.0
Porsche Taycan 4S Cross Turismo,97.0
Porsche Taycan Turbo Cross Turismo,97.0
Porsche Taycan Turbo S Cross Turismo,97.0
Porsche Taycan Turbo GT,97.0
Porsche Taycan Turbo GT Weissach,97.0
Audi e-tron GT S,97.0
Audi e-tron GT RS,97.0
Audi e-tron GT RS performance,97.0
Porsche Taycan 4 Plus,97.0
Porsche Taycan GTS,97.0
Porsche Taycan GTS Sport Turismo,97.0
Peugeot e-5008 97 kWh Long Range,96.9
Peugeot e-3008 97 kWh Long Range,96.9
Mercedes-Benz EQE SUV 500 4MATIC,96.0
Kia EV9 99.8 kWh RWD,96.0
Kia EV9 99.8 kWh AWD,96.0
Mercedes-Benz EQE 350+,96.0
Kia EV9 99.8 kWh AWD GT-Line,96.0
Mercedes-Benz EQE SUV 350+,96.0
Porsche Macan Electric,95.0
Porsche Macan 4 Electric,95.0
Porsche Macan Turbo Electric,95.0
Maserati Grecale Folgore,95.0
Tesla Model S Dual Motor,95.0
Tesla Model S Plaid,95.0
Tesla Model X Dual Motor,95.0
Tesla Model X Plaid,95.0
Porsche Macan 4S Electric,95.0
Audi Q6 e-tron quattro,94.9
Audi SQ6 e-tron,94.9
Audi Q6 e-tron performance,94.9
Audi A6 Sportback e-tron performance,94.9
Audi S6 Sportback e-tron,94.9
Audi A6 Avant e-tron performance,94.9
Audi S6 Avant e-tron,94.9
Audi Q6 e-tron Sportback performance,94.9
Audi Q6 e-tron Sportback quattro,94.9
Audi SQ6 e-tron Sportback,94.9
Audi A6 Sportback e-tron quattro,94.9
Audi A6 Avant e-tron quattro,94.9
BMW iX xDrive45,94.8
Zeekr 7X Long Range RWD,94.0
Zeekr 7X Performance AWD,94.0
Polestar 4 Long Range Single Motor,94.0
Polestar 4 Long Range Dual Motor,94.0
Smart #5 Pro+,94.0
Smart #5 Premium,94.0
Smart #5 Pulse,94.0
Smart #5 Summit Edition,94.0
Smart #5 Brabus,94.0
Zeekr 001 Long Range RWD,94.0
Zeekr 001 Performance AWD,94.0
Zeekr 001 Privilege AWD,94.0
XPENG G9 RWD Long Range,93.1
XPENG G9 AWD Performance,93.1
Lucid Air Touring,92.0
Lucid Air Pure RWD,92.0
BYD SEALION 7 91.3 kWh AWD Excellence,91.3
Ford Mustang Mach-E Rally,91.0
Ford Mustang Mach-E ER RWD,91.0
Ford Mustang Mach-E ER AWD,91.0
Ford Mustang Mach-E GT,91.0
Mercedes-Benz EQE 350 4MATIC,90.6
Mercedes-Benz EQE 500 4MATIC,90.6
Mercedes-Benz EQE AMG 43 4MATIC,90.6
Mercedes-Benz EQE AMG 53 4MATIC+,90.6
Mercedes-Benz EQE SUV AMG 43 4MATIC,90.6
Mercedes-Benz EQE SUV AMG 53 4MATIC+,90.6
Mercedes-Benz EQE SUV 300,90.6
Mercedes-Benz EQE SUV 350 4MATIC,90.6
Mercedes-Benz EQV 300 Long,90.0
Mercedes-Benz eVito Tourer Long 90 kWh,90.0
NIO ET5 Touring Long Range,90.0
NIO EL6 Long Range,90.0
NIO EL8 Long Range,90.0
Hongqi E-HS9 99 kWh,90.0
NIO ET7 Long Range,90.0
Mercedes-Benz EQV 300 Extra-Long,90.0
NIO ET5 Long Range,90.0
NIO EL7 Long Range,90.0
Mercedes-Benz EQE 300,89.0
Volvo ES90 Single Motor,88.0
VinFast VF 8 Eco Extended Range,87.7
VinFast VF 8 Plus Extended Range,87.7
XPENG G6 RWD Long Range,87.5
XPENG G6 AWD Performance,87.5
Nissan Ariya e-4ORCE 87kWh - 320 kW Nismo,87.0
BYD SEAL U 87 kWh Design,87.0
Renault Scenic E-Tech EV87 220hp,87.0
Nissan Ariya 87kWh,87.0
Nissan Ariya e-4ORCE 87kWh - 225 kW,87.0
Volkswagen ID.7 Pro S,86.0
Volkswagen ID.7 Tourer Pro S,86.0
Volkswagen ID. Buzz LWB Pro,86.0
Volkswagen ID. Buzz LWB GTX,86.0
Volkswagen ID.7 Tourer GTX,86.0
Volkswagen ID.7 GTX,86.0
BYD HAN,85.4
Mercedes-Benz CLA 250+,85.0
Mercedes-Benz CLA 350 4MATIC,85.0
Jaguar I-Pace EV400,84.7
Maxus MIFA 9,84.0
GWM ORA 07 GT,83.5
Maserati GranTurismo Folgore,83.0
Maserati GranCabrio Folgore,83.0
XPENG P7 RWD Long Range,82.7
XPENG P7 AWD Performance,82.7
XPENG P7 Wing Edition,82.7
Genesis G80 Electrified Luxury,82.5
BYD SEAL 82.5 kWh RWD Design,82.5
BYD SEAL 82.5 kWh AWD Excellence,82.5
BYD SEALION 7 82.5 kWh RWD Comfort,82.5
BYD SEALION 7 82.5 kWh AWD Design,82.5
Porsche Taycan,82.3
Porsche Taycan 4S,82.3
Porsche Taycan Sport Turismo,82.3
Porsche Taycan 4S Sport Turismo,82.3
Porsche Taycan 4,82.3
Opel Grandland 82 kWh,82.2
BMW i4 eDrive40,81.3
BMW i4 xDrive40,81.3
BMW i4 M50,81.3
BMW i5 eDrive40 Sedan,81.2
BMW i5 xDrive40 Sedan,81.2
BMW i5 M60 xDrive Sedan,81.2
BMW i5 eDrive40 Touring,81.2
BMW i5 xDrive40 Touring,81.2
BMW i5 M60 xDrive Touring,81.2
BMW i5 eDrive40 Touring,81.2
BMW i5 M60 xDrive Touring,81.2
BMW i5 eDrive40 Sedan,81.2
BMW i5 M60 xDrive Sedan,81.2
Elaris BEO 86 kWh,81.0
Skywell BE11 Long Range,81.0
Kia EV6 GT,80.0
Hyundai IONIQ 5 84 kWh RWD,80.0
Hyundai IONIQ 5 84 kWh AWD,80.0
Kia EV6 Long Range 2WD,80.0
Kia EV6 Long Range AWD,80.0
Hyundai IONIQ 5 N,80.0
Polestar 2 Long Range Single Motor,79.0
CUPRA Born VZ,79.0
Polestar 2 Long Range Dual Motor,79.0
Polestar 2 Long Range Performance,79.0
Volvo EC40 Single Motor ER,79.0
Volvo EC40 Twin Motor,79.0
Volvo EC40 Twin Motor Performance,79.0
Volvo EX40 Single Motor ER,79.0
Volvo EX40 Twin Motor,79.0
Volvo EX40 Twin Motor Performance,79.0
Volkswagen ID.3 GTX,79.0
Volkswagen ID.3 GTX Performance,79.0
Volkswagen ID. Buzz NWB GTX,79.0
Ford Explorer Extended Range AWD,79.0
Volkswagen ID. Buzz NWB Pro,79.0
Ford Capri Extended Range AWD,79.0
Kia EV4 Sedan Long Range,78.0
Kia EV4 Hatchback Long Range,78.0
Kia EV3 Long Range,78.0
Skoda Enyaq 85,77.0
Skoda Enyaq 85x,77.0
Skoda Enyaq Coupe 85,77.0
Skoda Enyaq Coupe 85x,77.0
Volkswagen ID.7 Pro,77.0
Volkswagen ID.7 Tourer Pro,77.0
Ford Explorer Extended Range RWD,77.0
Volkswagen ID.3 Pro S,77.0
CUPRA Tavascan Endurance,77.0
CUPRA Tavascan VZ,77.0
CUPRA Born 170 kW - 77 kWh,77.0
Ford Capri Extended Range RWD,77.0
Skoda Elroq 85,77.0
Audi Q4 e-tron 45,77.0
Audi Q4 e-tron 45 quattro,77.0
Audi Q4 e-tron 55 quattro,77.0
Audi Q4 Sportback e-tron 45,77.0
Audi Q4 Sportback e-tron 45 quattro,77.0
Audi Q4 Sportback e-tron 55 quattro,77.0
Volkswagen ID.4 Pro,77.0
